,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cidreira,12,BR,1584716635,71,-30.18,-50.21,71.15,16.42
1,Vaini,75,TO,1584716635,88,-21.2,-175.2,77.0,11.41
2,Upernavik,0,GL,1584716635,93,72.79,-56.15,-13.43,8.61
3,Rusape,93,ZW,1584716635,58,-18.53,32.13,73.69,8.48
4,Kaeo,2,NZ,1584716635,93,-35.1,173.78,60.01,8.34
5,Paamiut,100,GL,1584716635,67,61.99,-49.67,18.79,8.12
6,Katangli,100,RU,1584716635,88,51.71,143.23,22.03,17.87
7,Dul'durga,53,RU,1584716636,64,50.68,113.59,21.13,5.86
8,Lebu,0,CL,1584716636,30,-37.62,-73.65,71.89,4.56
9,Meulaboh,0,ID,1584716636,63,4.14,96.13,85.03,2.57
10,Sinnamary,98,GF,1584716636,76,5.38,-52.95,80.15,10.92
11,Ushuaia,75,AR,1584716636,87,-54.8,-68.3,42.8,24.16
12,Tura,0,IN,1584716636,33,25.52,90.22,72.05,3.2
13,Lompoc,90,US,1584716402,81,34.64,-120.46,50.0,6.93
14,Lata,75,PT,1584716637,100,40.16,-8.33,57.0,5.82
15,Khatanga,100,RU,1584716637,94,71.97,102.5,-7.85,15.73
16,Debre Tabor,24,ET,1584716637,24,11.85,38.02,77.29,12.73
17,Niagara Falls,90,CA,1584716492,93,43.1,-79.07,66.2,21.92
18,Abnūb,0,EG,1584716637,26,27.27,31.15,66.65,16.17
19,Andros Town,6,BS,1584716637,75,24.7,-77.77,78.01,4.0
20,Geraldton,75,AU,1584716637,78,-28.77,114.6,73.4,13.87
21,San Cristobal,75,VE,1584716637,94,7.77,-72.22,75.2,3.36
22,Mataura,100,NZ,1584716637,85,-46.19,168.86,45.0,5.01
23,Yellowknife,20,CA,1584716349,84,62.46,-114.35,16.0,4.7
24,Morristown,75,US,1584716455,93,36.21,-83.29,69.01,11.41
25,Kaitangata,100,NZ,1584716638,68,-46.28,169.85,50.0,15.82
26,Gigmoto,67,PH,1584716638,79,13.78,124.39,81.43,12.17
27,Bluff,98,NZ,1584716638,85,-46.6,168.33,45.0,5.01
28,Rikitea,100,PF,1584716638,79,-23.12,-134.97,79.09,13.78
29,Bengkulu,100,ID,1584716638,87,-3.8,102.27,75.31,2.71
30,Sobolevo,9,RU,1584716638,54,54.43,31.9,43.09,7.02
31,New Norfolk,90,AU,1584716638,82,-42.78,147.06,57.2,8.05
32,Port Shepstone,17,ZA,1584716638,77,-30.74,30.45,79.45,4.43
33,Mezen',100,RU,1584716638,94,65.85,44.24,18.95,8.34
34,Santa Isabel Rio Negro,91,BR,1584716638,54,-0.41,-65.02,88.99,3.8
35,Talnakh,0,RU,1584716638,75,69.49,88.4,-13.0,8.95
